useruuid;aid;artistname;plays
00007a47085b9aab8af55f52ec8846ac479ac4fe;328068c9-ee60-408e-8c24-b1dc1ae08b94;vetiver;80
00007a47085b9aab8af55f52ec8846ac479ac4fe;b3ea59b7-d50b-4f23-bda4-bf6c65010b61;k-the-i???;78
00007a47085b9aab8af55f52ec8846ac479ac4fe;6f2f87e7-3ce9-4f1c-81dd-6f068a78cf26;the microphones;77
00007a47085b9aab8af55f52ec8846ac479ac4fe;8663919f-922c-4ef0-b513-8ab2e51521a1;illogic;76
00007a47085b9aab8af55f52ec8846ac479ac4fe;2a9ea5bf-fc08-4fbc-ab73-17afa7906a52;annie;75
00007a47085b9aab8af55f52ec8846ac479ac4fe;aaae25bf-c794-45d7-bab7-cdc7c655bfa6;broadcast;75
00007a47085b9aab8af55f52ec8846ac479ac4fe;9beb62b2-88db-4cea-801e-162cd344ee53;beastie boys;74
00007a47085b9aab8af55f52ec8846ac479ac4fe;aba64937-3334-4c65-90a1-4e6b9d4d7ada;aesop rock;72
00007a47085b9aab8af55f52ec8846ac479ac4fe;188711ed-c99b-439c-844a-ca831f63a727;mf doom;71
00007a47085b9aab8af55f52ec8846ac479ac4fe;1270af14-9c17-4400-8ebb-3f0ac40dcfb0;the books;70
00007a47085b9aab8af55f52ec8846ac479ac4fe;9f9953f0-68bb-4ce3-aace-2f44c87f0aa3;bibio;69
00007a47085b9aab8af55f52ec8846ac479ac4fe;7b16e4ca-a204-4158-8293-20cb44c11d88;rachel's;69
00007a47085b9aab8af55f52ec8846ac479ac4fe;b91f0973-002e-4237-a39f-c7e02e786e53;architecture in helsinki;68
00007a47085b9aab8af55f52ec8846ac479ac4fe;037bb92d-efd5-48d9-b197-3ce699067e3c;bola;68
00007a47085b9aab8af55f52ec8846ac479ac4fe;270ab891-a8f7-4887-b5b2-7d8e95172a59;isan;68
00007a47085b9aab8af55f52ec8846ac479ac4fe;;apes & androids;67
00007a47085b9aab8af55f52ec8846ac479ac4fe;2b64e811-cbcd-45f7-b29d-296444cad4f1;múm;67
00007a47085b9aab8af55f52ec8846ac479ac4fe;03ad1736-b7c9-412a-b442-82536d63a5c4;elliott smith;66
00007a47085b9aab8af55f52ec8846ac479ac4fe;735e3514-a8ae-401f-af3b-6300df1b8d2c;caribou;65
0000c176103e538d5c9828e695fed4f7ae42dd01;a74b1b7f-71a5-4011-9441-d0b5e4122711;radiohead;2417
0000c176103e538d5c9828e695fed4f7ae42dd01;4883523d-fc0e-4d0d-802c-91379e767083;the hold steady;1955
0000c176103e538d5c9828e695fed4f7ae42dd01;d700b3f5-45af-4d02-95ed-57d301bda93e;mogwai;1480
0000c176103e538d5c9828e695fed4f7ae42dd01;69158f97-4c07-4c4e-baf8-4e4ab1ed666e;boards of canada;1115
0000c176103e538d5c9828e695fed4f7ae42dd01;444f2191-8841-440e-bbc1-6fd564893946;justice;1094
0000c176103e538d5c9828e695fed4f7ae42dd01;78f797e3-4913-4026-aad0-1cd858bd735b;bright eyes;1039
0000c176103e538d5c9828e695fed4f7ae42dd01;3bcff06f-675a-451f-9075-99e8657047e8;four tet;1022
0000c176103e538d5c9828e695fed4f7ae42dd01;630662ea-1c7d-4208-99fd-ba3afec20f0c;amon tobin;944
0000c176103e538d5c9828e695fed4f7ae42dd01;f6f2326f-6b25-4170-b89d-e235b25508e8;sigur rós;763
0000c176103e538d5c9828e695fed4f7ae42dd01;0cdb0359-5698-487d-9aae-a25fb4dcdc4d;clutch;754
0000c176103e538d5c9828e695fed4f7ae42dd01;42e49814-6058-431c-80e2-a3aab424060d;white denim;748
0000c176103e538d5c9828e695fed4f7ae42dd01;8a396a9c-2e4f-47e2-a587-c26e93a0953f;the go! team;712
0000c176103e538d5c9828e695fed4f7ae42dd01;b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d;the beatles;704
0000c176103e538d5c9828e695fed4f7ae42dd01;82dc508a-dbda-4954-aedc-28895edfa42e;2 many dj's;647
0000c176103e538d5c9828e695fed4f7ae42dd01;eb872766-98f6-453d-883f-2ae908a18315;tv on the radio;597
0000c176103e538d5c9828e695fed4f7ae42dd01;66fc5bf8-daa4-4241-b378-9bc9077939d2;tool;480
0000c176103e538d5c9828e695fed4f7ae42dd01;ea0f2a37-7007-4217-a812-396227f5013a;kyuss;478
0000c176103e538d5c9828e695fed4f7ae42dd01;efa2c11a-1a35-4b60-bc1b-66d37de88511;dj shadow;410
0000c176103e538d5c9828e695fed4f7ae42dd01;cb67438a-7f50-4f2b-a6f1-2bb2729fd538;air;385
0000c176103e538d5c9828e695fed4f7ae42dd01;9689aa5a-4471-4fb4-9721-07cecda0fa9f;a tribe called quest;367
0000c176103e538d5c9828e695fed4f7ae42dd01;7c158ea8-c0aa-410e-bdc1-20bba9759577;the cinematic orchestra;366
0000c176103e538d5c9828e695fed4f7ae42dd01;309c62ba-7a22-4277-9f67-4a162526d18a;beck;332
0000c176103e538d5c9828e695fed4f7ae42dd01;437a0e49-c6ae-42f6-a6c1-84f25ed366bc;bon iver;313
0000c176103e538d5c9828e695fed4f7ae42dd01;1c70a3fc-fa3c-4be1-8b55-c3192db8a884;röyksopp;311
0000c176103e538d5c9828e695fed4f7ae42dd01;8cc8eb33-616e-4392-9fe5-28b1fd15adad;rex the dog;300
0000c176103e538d5c9828e695fed4f7ae42dd01;9a709693-b4f8-4da9-8cc1-038c911a61be;bonobo;296
0000c176103e538d5c9828e695fed4f7ae42dd01;4a00ec9d-c635-463a-8cd4-eb61725f0c60;deadmau5;295
0000c176103e538d5c9828e695fed4f7ae42dd01;97b1142f-c71e-4971-8736-4a8ceaf6b4c3;the decemberists;283
0000c176103e538d5c9828e695fed4f7ae42dd01;60dd41cf-8f9d-46d8-bc19-dc7e5acb24c8;earth;282
0000c176103e538d5c9828e695fed4f7ae42dd01;a66999a7-ae5c-460e-ba94-1a01143ae847;snow patrol;278
0000c176103e538d5c9828e695fed4f7ae42dd01;8522b9b6-b295-48d7-9a10-8618fb80beb8;battles;270
0000c176103e538d5c9828e695fed4f7ae42dd01;93eb7110-0bc9-4d3f-816b-4b52ef982ec8;metronomy;268
0000c176103e538d5c9828e695fed4f7ae42dd01;65323ae4-1a49-497f-8f58-ae42b6c05eb6;dj format;247
0000c176103e538d5c9828e695fed4f7ae42dd01;4a4ee089-93b1-4470-af9a-6ff575d32704;the prodigy;234
0000c176103e538d5c9828e695fed4f7ae42dd01;4cbbf0d6-6c78-4e3d-ab25-91b13603cf7c;lemon jelly;233
0000c176103e538d5c9828e695fed4f7ae42dd01;83d91898-7763-47d7-b03b-b92132375c47;pink floyd;217
0000c176103e538d5c9828e695fed4f7ae42dd01;1a120ec5-35b3-4f3e-aa49-7201550d9feb;rjd2;217
0000c176103e538d5c9828e695fed4f7ae42dd01;1f43d76f-8edf-44f6-aaf1-b65f05ad9402;the flaming lips;215
0000c176103e538d5c9828e695fed4f7ae42dd01;c8d0a9fc-f547-4113-87f1-e7e029b58d6f;alasdair fraser & paul machlis;211
0000c176103e538d5c9828e695fed4f7ae42dd01;daeec599-bf5d-4428-994a-e76ba5f86e2f;passion pit;208
0000c176103e538d5c9828e695fed4f7ae42dd01;4342cf80-7c06-4402-a431-457e77310474;holy fuck;205
0000c176103e538d5c9828e695fed4f7ae42dd01;f27ec8db-af05-4f36-916e-3d57f91ecf5e;michael jackson;203
0000c176103e538d5c9828e695fed4f7ae42dd01;c485632c-b784-4ee9-8ea1-c5fb365681fc;mgmt;199
0000c176103e538d5c9828e695fed4f7ae42dd01;b071f9fa-14b0-4217-8e97-eb41da73f598;the rolling stones;198
0000c176103e538d5c9828e695fed4f7ae42dd01;e3e4e534-30cd-4979-bcc5-a75c49802f57;late of the pier;197
0000c176103e538d5c9828e695fed4f7ae42dd01;1f574ab1-a46d-4586-9331-f0ded23e0411;flight of the conchords;192
0000c176103e538d5c9828e695fed4f7ae42dd01;69ec6867-bda0-404b-bac4-338df8d73723;simian mobile disco;192
0000c176103e538d5c9828e695fed4f7ae42dd01;9c9f1380-2516-4fc9-a3e6-f9f61941d090;muse;186
0000c176103e538d5c9828e695fed4f7ae42dd01;bd13909f-1c29-4c27-a874-d4aaf27c5b1a;fleetwood mac;184
0000c176103e538d5c9828e695fed4f7ae42dd01;678d88b2-87b0-403b-b63d-5da7465aecc3;led zeppelin;181
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;f74c7996-4c0b-4ebd-b1e7-219e21c41286;stam1na;758
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;28503ab7-8bf2-4666-a7bd-2644bfc7cb1d;dream theater;572
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;66c662b6-6e2f-4930-8610-912e24c63ed1;ac/dc;554
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab;metallica;473
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;ca891d65-d9b0-4258-89f7-e6ba29d83767;iron maiden;471
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;c296e10c-110a-4103-9e77-47bfebb7fb2e;bob marley & the wailers;447
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;a9044915-8be3-4c7e-b11f-9e2d2ea0a91e;megadeth;255
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;f57e14e4-b030-467c-b202-539453f504ec;children of bodom;247
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;1f5ff245-2837-4d4a-a609-e93e544478c3;trivium;244
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;00376321-ce0f-4bd7-a98f-fcabdbf06ea7;raappana;227
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;00a9f935-ba93-4fc8-a33a-993abe9c936b;nightwish;189
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;44f49e8d-125c-47d4-bab1-37a8a46c5eb9;kotiteollisuus;160
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;51d51dbe-b13a-4169-a3f6-c9f6c8b9908a;circus maximus;156
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;95f5b748-d370-47fe-85bd-0af2dc450bc0;sublime;136
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;63e166d4-b490-48d1-84f7-c19b45c503de;viikate;136
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;4753fcb7-9270-493a-974d-8daca4e49125;volbeat;133
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;eeb1195b-f213-4ce1-b28c-8565211f8e43;guns n' roses;125
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;5dcdb5eb-cb72-4e6e-9e63-b7bace604965;bon jovi;101
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;c55193fb-f5d2-4839-a263-4c044fca1456;dio;101
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;c97c748f-d375-41a6-875d-25843f73ba6f;soldiers of jah army;101
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;c3cceeed-3332-4cf0-8c4c-bbde425147b6;scorpions;97
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;9d59f45d-72e0-4992-abe0-56c66f97b911;teräsbetoni;95
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;ef58d4c9-0d40-42ba-bfab-9186c1483edd;dragonforce;89
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;6a31f35f-78b4-4a78-bcff-d6262d8ef2a3;nopsajalka;77
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;44cf61b8-5197-448a-b82b-cef6ee89fac5;paramore;75
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;81df2271-03a1-46a3-bb30-cce187235312;the darkness;73
0000ee7dd906373efa37f4e1185bfe1e3f8695ae;2580100e-2387-40f8-900a-5e65b88ac018;soul captain band;68
